frame,time_s,x,y,width,height,aspect_ratio,green_pixels
frame_t4_183.jpg,4.183,300,355,17,18,0.9444,208
frame_t4_200.jpg,4.2,300,355,17,18,0.9444,208
frame_t4_217.jpg,4.217,300,355,17,18,0.9444,208
frame_t4_233.jpg,4.233,300,355,17,18,0.9444,208
frame_t4_250.jpg,4.25,300,355,17,18,0.9444,208
frame_t4_267.jpg,4.267,300,355,17,18,0.9444,208
frame_t4_283.jpg,4.283,300,355,17,18,0.9444,208
frame_t4_300.jpg,4.3,235,336,94,51,1.8431,4007
frame_t4_317.jpg,4.317,216,273,114,116,0.9828,12399
frame_t4_333.jpg,4.333,216,273,114,116,0.9828,12399
frame_t4_350.jpg,4.35,223,303,107,86,1.2442,8694
frame_t4_367.jpg,4.367,230,333,100,56,1.7857,5287
frame_t4_383.jpg,4.383,230,333,100,56,1.7857,5287
frame_t4_400.jpg,4.4,232,341,98,48,2.0417,4459
frame_t4_417.jpg,4.417,233,350,97,39,2.4872,3557
frame_t4_433.jpg,4.433,233,350,97,39,2.4872,3557
frame_t4_450.jpg,4.45,234,352,96,37,2.5946,3350
frame_t4_467.jpg,4.467,235,354,95,35,2.7143,3146
